STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-04,,,33,28
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-05,,,32,10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-06,,,19,3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-07,,,26,4
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-08,,,35,8
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-09,,,40,32
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-10,,,44,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-11,,,40,26
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-12,,,35,26
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-13,,,29,20
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-14,,,20,14
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-15,,,16,-3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-16,,,37,1
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-17,,,40,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-18,,,38,29
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-19,,,41,25
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-20,0,,48,27
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-21,0,,44,37
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-22,0,,42,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-23,0,,40,27
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-24,0,,34,26
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-25,0,,35,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-26,0,,53,25
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-27,0,,64,34
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-28,0,,64,38
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-29,0,,49,36
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-30,0,,47,32
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-03-31,0,,55,26
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-01,0,,67,43
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-02,0,,66,45
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-03,0,,59,33
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-04,0,,64,49
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-05,0,,56,53
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-06,0,,56,17
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-07,0,,24,13
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-08,0,,29,8
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-09,0,,36,17
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-10,0,,36,26
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-11,0,,40,23
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-12,0,,45,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-13,0,,51,28
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-04-14,0,,55,32
