STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/26/1910,0.25,0,0,77,67
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/27/1910,0,0,0,90,66
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/28/1910,0,0,0,94,71
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/29/1910,0,0,0,96,72
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",6/30/1910,0,0,0,92,72
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/1/1910,0,0,0,91,68
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/2/1910,0,0,0,86,70
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/3/1910,0,0,0,70,60
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/4/1910,0,0,0,83,55
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/5/1910,0,0,0,88,62
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/6/1910,0,0,0,85,67
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/7/1910,0,0,0,91,64
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/8/1910,0,0,0,86,67
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/9/1910,0.34,0,0,70,60
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/10/1910,0,0,0,80,58
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/11/1910,0.07,0,0,84,58
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/12/1910,0.09,0,0,78,52
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/13/1910,0,0,0,80,56
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/14/1910,0,0,0,87,67
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/15/1910,0,0,0,94,70
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/16/1910,0,0,0,85,69
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/17/1910,0,0,0,77,60
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/18/1910,0,0,0,81,56
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/19/1910,0,0,0,86,61
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/20/1910,0,0,0,94,65
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/21/1910,0.05,0,0,85,70
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/22/1910,0,0,0,90,64
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/23/1910,0.17,0,0,91,69
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/24/1910,0,0,0,83,66
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/25/1910,0,0,0,93,64
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/26/1910,0,0,0,86,69
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/27/1910,0,0,0,81,63
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/28/1910,0,0,0,89,64
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/29/1910,0,0,0,85,64
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",7/30/1910,0,0,0,80,59
