Unnamed: 0,Date,MaxTemp,MinTemp,Precip,Snow,SnowDepth,datetime,day,month,year,season
784,1873-02-23,7,-17,0,M,M,1873-02-23,23,2,1873,Winter
785,1873-02-24,19,-9,0,M,M,1873-02-24,24,2,1873,Winter
786,1873-02-25,28,3,0,M,M,1873-02-25,25,2,1873,Winter
787,1873-02-26,29,13,0.83,M,M,1873-02-26,26,2,1873,Winter
788,1873-02-27,29,16,0.02,M,M,1873-02-27,27,2,1873,Winter
789,1873-02-28,25,3,0,M,M,1873-02-28,28,2,1873,Winter
1065,1873-12-01,35,25,0,M,M,1873-12-01,1,12,1873,Winter
1066,1873-12-02,35,21,0.04,M,M,1873-12-02,2,12,1873,Winter
1067,1873-12-03,21,8,0.09,M,M,1873-12-03,3,12,1873,Winter
1068,1873-12-04,8,-8,0.01,M,M,1873-12-04,4,12,1873,Winter
1069,1873-12-05,2,-14,0,M,M,1873-12-05,5,12,1873,Winter
1070,1873-12-06,16,-11,0.02,M,M,1873-12-06,6,12,1873,Winter
1071,1873-12-07,28,15,0.06,M,M,1873-12-07,7,12,1873,Winter
1072,1873-12-08,36,23,0.1,M,M,1873-12-08,8,12,1873,Winter
1073,1873-12-09,23,9,0.01,M,M,1873-12-09,9,12,1873,Winter
1074,1873-12-10,30,1,0.01,M,M,1873-12-10,10,12,1873,Winter
1075,1873-12-11,30,16,0,M,M,1873-12-11,11,12,1873,Winter
1076,1873-12-12,18,9,0.01,M,M,1873-12-12,12,12,1873,Winter
1077,1873-12-13,20,1,0,M,M,1873-12-13,13,12,1873,Winter
1078,1873-12-14,26,6,0,M,M,1873-12-14,14,12,1873,Winter
1079,1873-12-15,39,16,0,M,M,1873-12-15,15,12,1873,Winter
1080,1873-12-16,32,20,0,M,M,1873-12-16,16,12,1873,Winter
1081,1873-12-17,25,11,0,M,M,1873-12-17,17,12,1873,Winter
1082,1873-12-18,22,7,0,M,M,1873-12-18,18,12,1873,Winter
1083,1873-12-19,20,3,0,M,M,1873-12-19,19,12,1873,Winter
1084,1873-12-20,4,-12,0,M,M,1873-12-20,20,12,1873,Winter
1085,1873-12-21,17,-10,0.03,M,M,1873-12-21,21,12,1873,Winter
1086,1873-12-22,36,16,0,M,M,1873-12-22,22,12,1873,Winter
1087,1873-12-23,36,34,0,M,M,1873-12-23,23,12,1873,Winter
1088,1873-12-24,34,31,0,M,M,1873-12-24,24,12,1873,Winter
1089,1873-12-25,33,26,0,M,M,1873-12-25,25,12,1873,Winter
1090,1873-12-26,28,18,0,M,M,1873-12-26,26,12,1873,Winter
1091,1873-12-27,18,10,0,M,M,1873-12-27,27,12,1873,Winter
1092,1873-12-28,28,9,0,M,M,1873-12-28,28,12,1873,Winter
1093,1873-12-29,24,5,0,M,M,1873-12-29,29,12,1873,Winter
1094,1873-12-30,28,4,0,M,M,1873-12-30,30,12,1873,Winter
1095,1873-12-31,34,19,0,M,M,1873-12-31,31,12,1873,Winter
1096,1874-01-01,39,20,0,M,M,1874-01-01,1,1,1874,Winter
1097,1874-01-02,43,25,0,M,M,1874-01-02,2,1,1874,Winter
1098,1874-01-03,38,6,0.01,M,M,1874-01-03,3,1,1874,Winter
1099,1874-01-04,6,-8,0,M,M,1874-01-04,4,1,1874,Winter
1100,1874-01-05,22,-2,0,M,M,1874-01-05,5,1,1874,Winter
1101,1874-01-06,30,14,0,M,M,1874-01-06,6,1,1874,Winter
1102,1874-01-07,37,10,0,M,M,1874-01-07,7,1,1874,Winter
1103,1874-01-08,34,18,0,M,M,1874-01-08,8,1,1874,Winter
1104,1874-01-09,32,13,0,M,M,1874-01-09,9,1,1874,Winter
1105,1874-01-10,14,7,0.01,M,M,1874-01-10,10,1,1874,Winter
1106,1874-01-11,10,2,0,M,M,1874-01-11,11,1,1874,Winter
1107,1874-01-12,16,-1,0.02,M,M,1874-01-12,12,1,1874,Winter
1108,1874-01-13,16,-11,0.02,M,M,1874-01-13,13,1,1874,Winter
1109,1874-01-14,-8,-23,0,M,M,1874-01-14,14,1,1874,Winter
1110,1874-01-15,2,-16,0,M,M,1874-01-15,15,1,1874,Winter
1111,1874-01-16,20,2,0,M,M,1874-01-16,16,1,1874,Winter
1112,1874-01-17,33,18,0,M,M,1874-01-17,17,1,1874,Winter
1113,1874-01-18,34,20,0.06,M,M,1874-01-18,18,1,1874,Winter
1114,1874-01-19,20,0,0,M,M,1874-01-19,19,1,1874,Winter
1115,1874-01-20,28,10,0.27,M,M,1874-01-20,20,1,1874,Winter
1116,1874-01-21,30,5,0,M,M,1874-01-21,21,1,1874,Winter
1117,1874-01-22,6,-6,0,M,M,1874-01-22,22,1,1874,Winter
1118,1874-01-23,6,-10,0,M,M,1874-01-23,23,1,1874,Winter
1119,1874-01-24,4,-18,0,M,M,1874-01-24,24,1,1874,Winter
1120,1874-01-25,8,-13,0,M,M,1874-01-25,25,1,1874,Winter
1121,1874-01-26,33,8,0,M,M,1874-01-26,26,1,1874,Winter
1122,1874-01-27,34,24,0.04,M,M,1874-01-27,27,1,1874,Winter
1123,1874-01-28,24,5,0,M,M,1874-01-28,28,1,1874,Winter
1124,1874-01-29,14,8,0.02,M,M,1874-01-29,29,1,1874,Winter
1125,1874-01-30,10,4,0.04,M,M,1874-01-30,30,1,1874,Winter
1126,1874-01-31,15,-4,0,M,M,1874-01-31,31,1,1874,Winter
1127,1874-02-01,20,1,0,M,M,1874-02-01,1,2,1874,Winter
1128,1874-02-02,25,9,0.01,M,M,1874-02-02,2,2,1874,Winter
1129,1874-02-03,24,10,0.07,M,M,1874-02-03,3,2,1874,Winter
